,Unnamed: 0,index,Link,Posting Date,Location,City,Neighbourhood (Dirty),Address,Pure Rent,Size,Date From,Date To,DataFrame Date,Deposit,Lease term,EUR / SQM,Name,Neighbourhood,Date To (Year - Month),Latitude,Longitude
2085,2085,7190654,www.wg-gesucht.de/wg-zimmer-in-Berlin-Mitte.7190654.html,27.07.2023,"Berlin
                                                                    Kreuzberg",Berlin,                                                                   Kreuzberg,Muster Str. 1,650.0,24,2023-09-01,2024-01-31,20230813,5000,4.0,27.083333333333332,27.07.2023-650.0-27.083333333333332 Berlin,Kreuzberg,2024-01,Location not found: Kreuzberg,Location not found: Kreuzberg
2086,2086,9223749,www.wg-gesucht.de/wg-zimmer-in-Berlin-Prenzlauer-Berg.9223749.html,27.07.2023,"Berlin
                                                                    Plänterwald",Berlin,                                                                   Plänterwald,Muster Str. 1,540.0,14,2023-08-12,2023-09-17,20230813,5000,1.0,38.57142857142857,27.07.2023-540.0-38.57142857142857 Berlin,Berlin,2023-09,Location not found: Berlin,Location not found: Berlin
2087,2087,10044222,www.wg-gesucht.de/wg-zimmer-in-Berlin-Prenzlauer-Berg.10044222.html,27.07.2023,"Berlin
                                                                    Mitte",Berlin,                                                                   Mitte,Muster Str. 1,650.0,22,2023-09-01,2024-09-30,20230813,5000,12.0,29.545454545454547,27.07.2023-650.0-29.545454545454547 Berlin,Mitte,2024-09,Location not found: Mitte,Location not found: Mitte
2088,2088,10310804,www.wg-gesucht.de/wg-zimmer-in-Berlin-Steglitz-Zehlendorf.10310804.html,27.07.2023,"Berlin
                                                                    Prenzlauer Berg",Berlin,                                                                   Prenzlauer Berg,Muster Str. 1,900.0,20,2023-08-01,2023-09-01,20230813,5000,1.0,45.0,27.07.2023-900.0-45.0 Berlin,Prenzlauer Berg,2023-09,Location not found: Prenzlauer Berg,Location not found: Prenzlauer Berg
2089,2089,10314053,www.wg-gesucht.de/wg-zimmer-in-Berlin-Steglitz.10314053.html,27.07.2023,"Berlin
                                                                    Prenzlauer Berg",Berlin,                                                                   Prenzlauer Berg,Muster Str. 1,900.0,20,2023-08-01,2023-12-01,20230813,5000,4.0,45.0,27.07.2023-900.0-45.0 Berlin,Prenzlauer Berg,2023-12,Location not found: Prenzlauer Berg,Location not found: Prenzlauer Berg
2090,2090,4873932,www.wg-gesucht.de/wg-zimmer-in-Berlin.4873932.html,27.07.2023,"Berlin
                                                                    Steglitz-Zehlendorf",Berlin,                                                                   Steglitz-Zehlendorf,Muster Str. 1,670.0,15,2023-08-01,2023-11-30,20230813,5000,3.0,44.666666666666664,27.07.2023-670.0-44.666666666666664 Berlin,Steglitz,2023-11,Location not found: Steglitz,Location not found: Steglitz
2091,2091,10314016,www.wg-gesucht.de/wg-zimmer-in-Berlin-Reinickendorf.10314016.html,27.07.2023,"Berlin
                                                                    Steglitz",Berlin,                                                                   Steglitz,Muster Str. 1,615.0,25,2023-08-01,,20230813,5000,,24.6,27.07.2023-615.0-24.6 Berlin,Steglitz,,Location not found: Steglitz,Location not found: Steglitz
2092,2092,10313938,www.wg-gesucht.de/wg-zimmer-in-Berlin-Schoeneberg.10313938.html,27.07.2023,Berlin,Berlin,Berlin,Muster Str. 1,600.0,20,2023-10-01,2024-10-01,20230813,5000,12.0,30.0,27.07.2023-600.0-30.0 Berlin,Berlin,2024-10,Location not found: Berlin,Location not found: Berlin
2093,2093,10184967,www.wg-gesucht.de/wg-zimmer-in-Berlin-Neukoelln.10184967.html,27.07.2023,"Berlin
                                                                    Reinickendorf",Berlin,                                                                   Reinickendorf,Muster Str. 1,600.0,7,2023-08-01,2024-01-01,20230813,5000,5.0,85.71428571428571,27.07.2023-600.0-85.71428571428571 Berlin,Reinickendorf,2024-01,Location not found: Reinickendorf,Location not found: Reinickendorf
2094,2094,10313927,www.wg-gesucht.de/wg-zimmer-in-Berlin-Tiergarten.10313927.html,27.07.2023,"Berlin
                                                                    Schöneberg",Berlin,                                                                   Schöneberg,Muster Str. 1,300.0,25,2023-08-09,2023-08-30,20230813,5000,0.0,12.0,27.07.2023-300.0-12.0 Berlin,Schöneberg,2023-08,Location not found: Schöneberg,Location not found: Schöneberg
2095,2095,10301794,www.wg-gesucht.de/wg-zimmer-in-Berlin-Lichtenberg.10301794.html,27.07.2023,"Berlin
                                                                    Neukölln",Berlin,                                                                   Neukölln,Muster Str. 1,600.0,15,2023-07-31,,20230813,5000,,40.0,27.07.2023-600.0-40.0 Berlin,Neukölln,,Location not found: Neukölln,Location not found: Neukölln
2096,2096,9856880,www.wg-gesucht.de/wg-zimmer-in-Berlin-Reinickendorf.9856880.html,27.07.2023,"Berlin
                                                                    Tiergarten",Berlin,                                                                   Tiergarten,Muster Str. 1,800.0,37,2023-08-10,2023-10-30,20230813,5000,2.0,21.62162162162162,27.07.2023-800.0-21.62162162162162 Berlin,Tiergarten,2023-10,Location not found: Tiergarten,Location not found: Tiergarten
2097,2097,10313689,www.wg-gesucht.de/wg-zimmer-in-Berlin-Spandau.10313689.html,27.07.2023,"Berlin
                                                                    Lichtenberg",Berlin,                                                                   Lichtenberg,Muster Str. 1,450.0,12,2023-08-01,2023-12-20,20230813,5000,4.0,37.5,27.07.2023-450.0-37.5 Berlin,Lichtenberg,2023-12,Location not found: Lichtenberg,Location not found: Lichtenberg
2098,2098,9851883,www.wg-gesucht.de/wg-zimmer-in-Berlin-Prenzlauer-Berg.9851883.html,27.07.2023,"Berlin
                                                                    Reinickendorf",Berlin,                                                                   Reinickendorf,Muster Str. 1,750.0,15,2023-10-01,,20230813,5000,,50.0,27.07.2023-750.0-50.0 Berlin,Reinickendorf,,Location not found: Reinickendorf,Location not found: Reinickendorf
2099,2099,10161754,www.wg-gesucht.de/wg-zimmer-in-Berlin-Wedding.10161754.html,27.07.2023,"Berlin
                                                                    Spandau",Berlin,                                                                   Spandau,Muster Str. 1,500.0,20,2023-09-01,,20230813,5000,,25.0,27.07.2023-500.0-25.0 Berlin,Spandau,,Location not found: Spandau,Location not found: Spandau
2100,2100,10312207,www.wg-gesucht.de/wg-zimmer-in-Berlin-Britz.10312207.html,13.08.2023,Zimmer von HousingAnywhere*,Zimmervon HousingAnywhere*,Zimmervon HousingAnywhere*,Muster Str. 1,400.0,21,2023-08-14,,20230813,5000,,19.047619047619047,13.08.2023-400.0-19.047619047619047 Zimmervon HousingAnywhere*,Berlin,,Location not found: Berlin,Location not found: Berlin
2101,2101,10313040,www.wg-gesucht.de/wg-zimmer-in-Berlin-berlin.10313040.html,13.08.2023,Zimmer von Spotahome*,Zimmervon Spotahome*,Zimmervon Spotahome*,Muster Str. 1,380.0,23,2023-08-14,,20230813,5000,,16.52173913043478,13.08.2023-380.0-16.52173913043478 Zimmervon Spotahome*,Berlin,,Location not found: Berlin,Location not found: Berlin
