,Unnamed: 0,Data ID,Link,Posting Date,Location,City,Neighbourhood,Full Address,Address,Miete,Pure rent,Service Charge,Other Charge,Größe,Date From,Date To,DataFrame,Deposit,Rooms,Full Address Lenght,EUR / SQM
70,70,2a63y5z,https://www.immowelt.de/expose/2a63y5z,,,Berlin,Moabit,"Birkenstr. 56, Berlin (Moabit)",Birkenstr. 56,458.71,"458,71",5000,5000,42.08,,,20230424,5000,1.0,2,10.900903041825096
71,71,2aqwx5z,https://www.immowelt.de/expose/2aqwx5z,,,Berlin,Alt-Hohenschönhausen,"SeddinerstaÃe 1, Berlin (Alt-HohenschÃ¶nhausen)",Seddinerstße 1,892.0,892,5000,5000,73.15,,,20230424,5000,2.0,2,12.194121667805877
72,72,2a2nx5z,https://www.immowelt.de/expose/2a2nx5z,,,Berlin,Buckow,"Mollnerweg 34, Berlin (Buckow)",Mollnerweg 34,838.57,"838,57",5000,5000,86.54,,,20230424,5000,4.0,2,9.68996995608967
73,73,2ajjx5z,https://www.immowelt.de/expose/2ajjx5z,,,Berlin,Buckow,"Mollnerweg 34, Berlin (Buckow)",Mollnerweg 34,312.0,312,5000,5000,48.0,,,20230424,5000,1.0,2,6.5
74,74,2argx5z,https://www.immowelt.de/expose/2argx5z,,,Berlin,Buckow,"HeidelÃ¤uferweg 53, Berlin (Buckow)",Heideläuferweg 53,405.89,"405,89",5000,5000,60.58,,,20230424,5000,2.0,2,6.700066028392208
75,75,2a97x5z,https://www.immowelt.de/expose/2a97x5z,,,Berlin,Spandau,"Blasewitzer Ring 36, Berlin (Spandau)",Blasewitzer ring 36,506.21,"506,21",5000,5000,66.25,,,20230424,5000,2.0,2,7.640905660377358
76,76,2aqcw5z,https://www.immowelt.de/expose/2aqcw5z,,,Berlin,Moabit,"Bremer Str. 12, Berlin (Moabit)",Bremer str. 12,436.97,"436,97",5000,5000,30.73,,,20230424,5000,1.0,2,14.219655060201758
77,77,2ancw5z,https://www.immowelt.de/expose/2ancw5z,,,Berlin,Moabit,"Bremer Str. 11, Berlin (Moabit)",Bremer str. 11,436.97,"436,97",5000,5000,25.11,,,20230424,5000,1.0,2,17.402230187176425
78,78,2agcw5z,https://www.immowelt.de/expose/2agcw5z,,,Berlin,Hellersdorf,"Zossener StraÃe 152, Berlin (Hellersdorf)",Zossener strße 152,472.2,"472,20",5000,5000,42.35,,,20230424,5000,1.0,2,11.149940968122786
79,79,2adcw5z,https://www.immowelt.de/expose/2adcw5z,,,Berlin,Hellersdorf,"Zossener StraÃe 152, Berlin (Hellersdorf)",Zossener strße 152,353.01,"353,01",5000,5000,36.43,,,20230424,5000,1.0,2,9.690090584682954
80,80,2aq3v5z,https://www.immowelt.de/expose/2aq3v5z,,,Berlin,Buchholz,"Rosenthaler Weg 18, Berlin (Buchholz)",Rosenthaler weg 18,679.0,679,5000,5000,45.64,,,20230424,5000,2.0,2,14.877300613496931
81,81,2am4u5z,https://www.immowelt.de/expose/2am4u5z,,,Berlin,Mariendorf,Berlin (Mariendorf),,561.0,561,5000,5000,51.0,,,20230424,5000,2.0,1,11.0
82,82,2aeuq5z,https://www.immowelt.de/expose/2aeuq5z,,,Berlin,Mitte,"Templiner Str. 17, Berlin (Mitte)",Templiner str. 17,3125.0,3.125,5000,5000,155.0,,,20230424,5000,5.0,2,20.161290322580644
83,83,2akus5z,https://www.immowelt.de/expose/2akus5z,,,Berlin,Lichtenrade,"GroÃ-Ziethener-Str. 90, Berlin (Lichtenrade)",Groã-ziethener-str. 90,376.04,"376,04",5000,5000,43.01,,,20230424,5000,1.0,2,8.74308300395257
84,84,2alvr5z,https://www.immowelt.de/expose/2alvr5z,,,Berlin,Lichtenrade,"Nahariyastr. 25, Berlin (Lichtenrade)",Nahariyastr. 25,808.9,"808,90",5000,5000,96.97,,,20230424,5000,3.5,2,8.341755182015056
85,85,2afrr5z,https://www.immowelt.de/expose/2afrr5z,,,Berlin,Lichtenrade,"GroÃ-Ziethener-Str. 90, Berlin (Lichtenrade)",Groã-ziethener-str. 90,485.87,"485,87",5000,5000,55.56,,,20230424,5000,2.0,2,8.744960403167747
86,86,2aygr5z,https://www.immowelt.de/expose/2aygr5z,,,Berlin,Hellersdorf,"Alte Hellersdorfer StraÃe 108N, Berlin (Hellersdorf)",Alte hellersdorfer strße 108n,349.9,"349,90",5000,5000,53.83,,,20230424,5000,2.0,2,6.5000928850083595
87,87,2aeer5z,https://www.immowelt.de/expose/2aeer5z,,,Berlin,Köpenick,"Stellingdamm 2, Berlin (KÃ¶penick)",Stellingdamm 2,612.15,"612,15",5000,5000,40.81,,,20230424,5000,1.0,2,14.999999999999998
88,88,2a8dr5z,https://www.immowelt.de/expose/2a8dr5z,,,Berlin,Köpenick,"Stellingdamm 2, Berlin (KÃ¶penick)",Stellingdamm 2,723.75,"723,75",5000,5000,48.25,,,20230424,5000,1.0,2,15.0
89,89,2ahsq5z,https://www.immowelt.de/expose/2ahsq5z,,,Berlin,Lichtenrade,"Skarbinastr. 84, Berlin (Lichtenrade)",Skarbinastr. 84,544.67,"544,67",5000,5000,63.89,,,20230424,5000,2.0,2,8.52512130223822
90,90,2a5qp5z,https://www.immowelt.de/expose/2a5qp5z,,,Berlin,Westend,"Bayernallee 3, Berlin (Westend)",Bayernallee 3,1049.0,1.049,5000,5000,37.0,,,20230424,5000,1.0,2,28.35135135135135
91,91,2a7zy5t,https://www.immowelt.de/expose/2a7zy5t,,,Berlin,Wilmersdorf,Berlin (Wilmersdorf),,2300.0,2.300,5000,5000,90.0,,,20230424,5000,3.0,1,25.555555555555557
92,92,28sgx5e,https://www.immowelt.de/expose/28sgx5e,,,Berlin,Friedrichshain,"Ehrenbergstr. 5, Berlin (Friedrichshain)",Ehrenbergstr. 5,2800.0,2.800,5000,5000,93.0,,,20230424,5000,3.0,2,30.107526881720432
93,93,2aynj5z,https://www.immowelt.de/expose/2aynj5z,,,Berlin,Oberschöneweide,Berlin (OberschÃ¶neweide),,1221.0,1.221,5000,5000,74.0,,,20230424,5000,2.0,1,16.5
94,94,2atnj5z,https://www.immowelt.de/expose/2atnj5z,,,Berlin,Wilmersdorf,Berlin (Wilmersdorf),,1900.0,1.900,5000,5000,57.0,,,20230424,5000,2.0,1,33.333333333333336
95,95,2al6h5z,https://www.immowelt.de/expose/2al6h5z,,,Berlin,Westend,Berlin (Westend),,2090.0,2.090,5000,5000,104.0,,,20230424,5000,4.0,1,20.096153846153847
96,96,2ansg5z,https://www.immowelt.de/expose/2ansg5z,,,Berlin,Pankow,Berlin (Pankow),,950.0,950,5000,5000,45.0,,,20230424,5000,1.0,1,21.11111111111111
97,97,2ajuu5z,https://www.immowelt.de/expose/2ajuu5z,,,Berlin,Oberschöneweide,Berlin (OberschÃ¶neweide),,581.0,581,5000,5000,13.2,,,20230424,5000,1.0,1,44.015151515151516
98,98,2a77g5z,https://www.immowelt.de/expose/2a77g5z,,,Berlin,Kaulsdorf,"Hellersdorfer StraÃe 103, Berlin (Kaulsdorf)",Hellersdorfer strße 103,950.0,950,5000,5000,83.88,,,20230424,5000,3.0,2,11.325703385789224
99,99,2afza5t,https://www.immowelt.de/expose/2afza5t,,,Berlin,Mitte,Berlin (Mitte),,1050.0,1.050,5000,5000,60.0,,,20230424,5000,3.0,1,17.5
100,100,2a5qc5z,https://www.immowelt.de/expose/2a5qc5z,,,Berlin,Prenzlauer,Berlin (Prenzlauer Berg),,2127.84,"2.127,84",5000,5000,96.72,,,20230424,5000,3.0,1,22.0
101,101,2a8z95z,https://www.immowelt.de/expose/2a8z95z,,,Berlin,Siemensstadt,Berlin (Siemensstadt),,690.0,690,5000,5000,50.0,,,20230424,5000,2.0,1,13.8
102,102,2aq785z,https://www.immowelt.de/expose/2aq785z,,,Berlin,Britz,Berlin (Britz),,470.0,470,5000,5000,54.0,,,20230424,5000,2.0,1,8.703703703703704
103,103,2w2c54v,https://www.immowelt.de/expose/2w2c54v,,,Berlin,Rudow,"Krokusstr. 2a, Berlin (Rudow)",Krokusstr. 2a,1265.0,1.265,5000,5000,75.65,,,20230424,5000,2.0,2,16.72174487772637
104,104,2a5375z,https://www.immowelt.de/expose/2a5375z,,,Berlin,Tiergarten,"SchÃ¶neberger Ufer 63, Berlin (Tiergarten)",Schã¶neberger ufer 63,700.0,700,5000,5000,,,,20230424,5000,,2,
105,105,2as255z,https://www.immowelt.de/expose/2as255z,,,Berlin,Mitte,"Rostocker Street 3, Berlin (Mitte)",Rostocker street 3,1350.0,1.350,5000,5000,75.0,,,20230424,5000,2.0,2,18.0
106,106,2awe35z,https://www.immowelt.de/expose/2awe35z,,,Berlin,LÃ¼bars,"Zehntwerderweg 148, Berlin (LÃ¼bars)",Zehntwerderweg 148,1081.0,1.081,5000,5000,56.88,,,20230424,5000,2.0,2,19.00492264416315
107,107,2ate35z,https://www.immowelt.de/expose/2ate35z,,,Berlin,LÃ¼bars,"Zehntwerderweg 148, Berlin (LÃ¼bars)",Zehntwerderweg 148,783.0,783,5000,5000,41.17,,,20230424,5000,1.0,2,19.018702939033275
108,108,2a6d35z,https://www.immowelt.de/expose/2a6d35z,,,Berlin,LÃ¼bars,Berlin (LÃ¼bars),,1226.0,1.226,5000,5000,64.52,,,20230424,5000,3.0,1,19.001859888406695
109,109,2as835z,https://www.immowelt.de/expose/2as835z,,,Berlin,Spandau,"Wilhelmstr, 147, Berlin (Spandau)",Wilhelmstr 147,762.7,"762,70",5000,5000,52.6,,,20230424,5000,2.0,3,14.5
110,110,2acgz5y,https://www.immowelt.de/expose/2acgz5y,,,Berlin,Prenzlauer,Berlin (Prenzlauer Berg),,836.0,836,5000,5000,78.0,,,20230424,5000,2.5,1,10.717948717948717
111,111,2ajzy5y,https://www.immowelt.de/expose/2ajzy5y,,,Berlin,Charlottenburg,Berlin (Charlottenburg),,2150.0,2.150,5000,5000,79.51,,,20230424,5000,2.0,1,27.04062382090303
112,112,2a9tx5y,https://www.immowelt.de/expose/2a9tx5y,,,Berlin,Alt-Hohenschönhausen,"GroÃe-Leege-StraÃe 50 A, Berlin (Alt-HohenschÃ¶nhausen)",Groãe-leege-strße 50 a,899.0,899,5000,5000,55.78,,,20230424,5000,2.0,2,16.116887773395483
113,113,2a7tx5y,https://www.immowelt.de/expose/2a7tx5y,,,Berlin,Hellersdorf,"Stendaler StraÃe 63, Berlin (Hellersdorf)",Stendaler strße 63,629.0,629,5000,5000,53.98,,,20230424,5000,2.0,2,11.652463875509449
