Posting Date,Pure Rent,Size,Date From,Date To,Lease term,EUR / SQM,Name,Neighbourhood,Date To (Year - Month),Latitude,Longitude
12.04.2023,1300,40,2023-05-16,2023-05-29,0,32.5,12.04.2023-1300.0-32.5 Berlin  Wedding,Wedding,2023-05,52.550123,13.34197
12.04.2023,995,50,2023-06-01,,,19.9,12.04.2023-995.0-19.9 Berlin  Mitte,Mitte,,52.5178855,13.4040601
12.04.2023,1000,56,2023-05-01,2023-11-01,6,17.85714286,12.04.2023-1000.0-17.857142857142858 Berlin  Mitte,Mitte,2023-11,52.5178855,13.4040601
12.04.2023,900,32,2023-04-12,2024-04-12,12,28.125,12.04.2023-900.0-28.125 Berlin  Tempelhof,Tempelhof,2024-04,52.4632921,13.3864477
12.04.2023,100,40,2023-04-21,2023-04-23,0,2.5,12.04.2023-100.0-2.5 Berlin  Kreuzberg - Berlin,Kreuzberg,2023-04,52.4976443,13.411914
12.04.2023,200,40,2023-04-26,2023-04-30,0,5,12.04.2023-200.0-5.0 Berlin  Berlin - Kreuzberg,Kreuzberg,2023-04,52.4976443,13.411914
12.04.2023,1250,50,2023-05-02,2023-06-22,1,25,12.04.2023-1250.0-25.0 Berlin  Neukölln,Neukölln,2023-06,52.4811497,13.4353501
12.04.2023,930,55,2023-09-01,2024-09-01,12,16.90909091,12.04.2023-930.0-16.90909090909091 Berlin  Wedding,Wedding,2024-09,52.550123,13.34197
12.04.2023,130,105,2023-05-04,2023-05-09,0,1.238095238,12.04.2023-130.0-1.2380952380952381 Berlin  Friedrichshain,Friedrichshain,2023-05,52.5122154,13.4502904
12.04.2023,1900,60,2023-04-12,2029-03-30,71,31.66666667,12.04.2023-1900.0-31.666666666666668 Berlin  Friedrichshain,Friedrichshain,2029-03,52.5122154,13.4502904
12.04.2023,2817,74,2023-04-12,,,38.06756757,12.04.2023-2817.0-38.067567567567565 Berlin  Schöneberg,Schöneberg,,52.482157,13.3551901
12.04.2023,600,90,2023-05-01,2023-06-01,1,6.666666667,12.04.2023-600.0-6.666666666666667 Berlin  Schöneberg,Schöneberg,2023-06,52.482157,13.3551901
12.04.2023,400,45,2023-04-26,2023-05-14,1,8.888888889,12.04.2023-400.0-8.88888888888889 Berlin  wedding,wedding,2023-05,52.550123,13.34197
12.04.2023,2555,75,2023-04-12,,,34.06666667,12.04.2023-2555.0-34.06666666666667 Berlin  Prenzlauer Berg,Prenzlauer Berg,,52.5398466,13.4285652
12.04.2023,1450,100,2023-07-12,2023-08-12,1,14.5,12.04.2023-1450.0-14.5 Berlin  Tempelhof,Tempelhof,2023-08,52.4632921,13.3864477
12.04.2023,3035,106,2023-04-12,,,28.63207547,12.04.2023-3035.0-28.632075471698112 Berlin  Friedrichshain,Friedrichshain,,52.5122154,13.4502904
12.04.2023,500,67,2023-05-15,2023-05-27,0,7.462686567,12.04.2023-500.0-7.462686567164179 Berlin  Rummelsburg,Rummelsburg,2023-05,52.5013696,13.4835143
12.04.2023,930,45,2023-04-13,,,20.66666667,12.04.2023-930.0-20.666666666666668 Wohnungen von HousingAnywhere*,Berlin,,52.5170365,13.3888599
12.04.2023,880,30,2023-04-13,,,29.33333333,12.04.2023-880.0-29.333333333333332 Wohnungen von Spotahome*,Berlin,,52.5170365,13.3888599
12.04.2023,2520,77,2023-04-12,,,32.72727273,12.04.2023-2520.0-32.72727272727273 Berlin  Kreuzberg,Kreuzberg,,52.4976443,13.411914
12.04.2023,1800,80,2023-05-02,2023-07-31,2,22.5,12.04.2023-1800.0-22.5 Berlin  Friedrichshain,Friedrichshain,2023-07,52.5122154,13.4502904
12.04.2023,630,60,2023-05-05,2023-05-20,0,10.5,12.04.2023-630.0-10.5 Berlin,Berlin,2023-05,52.5170365,13.3888599
12.04.2023,875,52,2023-05-20,2023-08-20,3,16.82692308,12.04.2023-875.0-16.826923076923077 Berlin  Prenzlauer Berg,Prenzlauer Berg,2023-08,52.5398466,13.4285652
12.04.2023,1200,32,2023-08-19,2023-09-27,1,37.5,12.04.2023-1200.0-37.5 Berlin,Berlin,2023-09,52.5170365,13.3888599
12.04.2023,2992,55,2023-04-12,,,54.4,12.04.2023-2992.0-54.4 Berlin  Friedrichshain,Friedrichshain,,52.5122154,13.4502904
12.04.2023,600,38,2023-04-18,2023-05-12,1,15.78947368,12.04.2023-600.0-15.789473684210526 Berlin  Mitte,Mitte,2023-05,52.5178855,13.4040601
12.04.2023,1050,55,2023-05-01,2023-09-30,4,19.09090909,12.04.2023-1050.0-19.09090909090909 Berlin  Kreuzberg,Kreuzberg,2023-09,52.4976443,13.411914
12.04.2023,620,20,2023-08-07,2023-08-29,0,31,12.04.2023-620.0-31.0 Berlin  Lichtenberg,Lichtenberg,2023-08,48.9212959,7.4812268
12.04.2023,1147,43,2023-05-01,2023-07-31,2,26.6744186,12.04.2023-1147.0-26.674418604651162 Berlin  Neukölln,Neukölln,2023-07,52.4811497,13.4353501
12.04.2023,950,40,2023-05-01,2024-04-30,11,23.75,12.04.2023-950.0-23.75 Berlin  Mitte,Mitte,2024-04,52.5178855,13.4040601
12.04.2023,1290,48,2023-04-12,,,26.875,12.04.2023-1290.0-26.875 Berlin  Steglitz-Zehlendorf,Steglitz,,52.4572569,13.3222865
12.04.2023,720,45,2023-04-22,2023-05-31,1,16,12.04.2023-720.0-16.0 Berlin  Neukölln,Neukölln,2023-05,52.4811497,13.4353501
12.04.2023,950,30,2023-05-05,2023-05-30,0,31.66666667,12.04.2023-950.0-31.666666666666668 Berlin  Prenzlauer Berg,Prenzlauer Berg,2023-05,52.5398466,13.4285652
12.04.2023,500,65,2023-04-20,2023-04-30,0,7.692307692,12.04.2023-500.0-7.6923076923076925 Berlin  Prenzlauer Berg,Prenzlauer Berg,2023-04,52.5398466,13.4285652
12.04.2023,900,35,2023-04-25,2023-05-31,1,25.71428571,12.04.2023-900.0-25.714285714285715 Berlin  Kreuzberg,Kreuzberg,2023-05,52.4976443,13.411914
12.04.2023,660,38,2023-05-15,2024-01-15,8,17.36842105,12.04.2023-660.0-17.36842105263158 Berlin  Friedrichshain,Friedrichshain,2024-01,52.5122154,13.4502904
12.04.2023,1200,54,2023-05-10,2023-09-30,4,22.22222222,12.04.2023-1200.0-22.22222222222222 Berlin  Neukölln,Neukölln,2023-09,52.4811497,13.4353501
12.04.2023,900,31,2023-05-15,,,29.03225806,12.04.2023-900.0-29.032258064516128 Berlin  Reinickendorf,Reinickendorf,,52.6047631,13.2952872
12.04.2023,1999,75,2023-06-01,2023-06-30,0,26.65333333,12.04.2023-1999.0-26.653333333333332 Berlin  Mitte,Mitte,2023-06,52.5178855,13.4040601
12.04.2023,750,40,2023-04-13,,,18.75,12.04.2023-750.0-18.75 Wohnungen von HousingAnywhere*,Berlin,,52.5170365,13.3888599
12.04.2023,660,30,2023-04-13,,,22,12.04.2023-660.0-22.0 Wohnungen von Spotahome*,Berlin,,52.5170365,13.3888599
12.04.2023,1365,100,2023-05-01,,,13.65,12.04.2023-1365.0-13.65 Berlin  Karlshorst,Karlshorst,,52.4843399,13.5235848
12.04.2023,1075,69,2023-04-19,2023-05-26,1,15.57971014,12.04.2023-1075.0-15.579710144927537 Berlin  Kreuzberg,Kreuzberg,2023-05,52.4976443,13.411914
12.04.2023,800,100,2023-05-12,2023-06-11,1,8,12.04.2023-800.0-8.0 Berlin  Berlin,Berlin,2023-06,52.5170365,13.3888599
12.04.2023,1950,84,2023-05-01,2024-05-31,12,23.21428571,12.04.2023-1950.0-23.214285714285715 Berlin  Tempelhof-Schöneberg,Schöneberg,2024-05,52.482157,13.3551901
12.04.2023,1650,45,2023-04-16,,,36.66666667,12.04.2023-1650.0-36.666666666666664 Berlin  Oberschöneweide,Oberschöneweide,,52.4624563,13.5234762
12.04.2023,850,46,2023-05-10,2023-09-30,4,18.47826087,12.04.2023-850.0-18.47826086956522 Berlin  Neukölln,Neukölln,2023-09,52.4811497,13.4353501
12.04.2023,780,70,2023-04-28,2023-05-06,1,11.14285714,12.04.2023-780.0-11.142857142857142 Berlin  Neukölln,Neukölln,2023-05,52.4811497,13.4353501
12.04.2023,350,70,2023-04-21,2023-04-24,0,5,12.04.2023-350.0-5.0 Berlin  Neukölln,Neukölln,2023-04,52.4811497,13.4353501
12.04.2023,750,70,2023-05-08,2023-06-01,1,10.71428571,12.04.2023-750.0-10.714285714285714 Berlin  Lichtenberg,Lichtenberg,2023-06,48.9212959,7.4812268
12.04.2023,890,18,2023-08-01,,,49.44444444,12.04.2023-890.0-49.44444444444444 Berlin  Friedrichshain,Friedrichshain,,52.5122154,13.4502904
12.04.2023,1110,46,2023-04-15,2025-04-30,24,24.13043478,12.04.2023-1110.0-24.130434782608695 Berlin  Altglienicke,Altglienicke,2025-04,52.4118382,13.5426461
12.04.2023,780,40,2023-04-15,2023-05-31,1,19.5,12.04.2023-780.0-19.5 Berlin  Neukölln,Neukölln,2023-05,52.4811497,13.4353501
12.04.2023,465,41,2023-04-24,2023-05-14,1,11.34146341,12.04.2023-465.0-11.341463414634147 Berlin  Neukölln,Neukölln,2023-05,52.4811497,13.4353501
