,index,Link,Posting Date,Location,City,Neighbourhood (Dirty),Address,Price,Pure rent,Service Charge,Other Charge,Size,Date From,Date To,DataFrame,Deposit
480,8054625,www.wg-gesucht.de/wg-zimmer-in-Berlin-Wittenau.8054625.html,31.05.2023,Zimmer von HousingAnywhere*,Zimmervon HousingAnywhere*,Zimmervon HousingAnywhere*,Muster Str. 1,510 €,5000,5000,5000,24m²,01.06.2023,,20230424,5000
481,10120607,www.wg-gesucht.de/wg-zimmer-in-Berlin-Kreuzberg.10120607.html,31.05.2023,Zimmer von Spotahome*,Zimmervon Spotahome*,Zimmervon Spotahome*,Muster Str. 1,480 €,5000,5000,5000,16m²,01.06.2023,,20230424,5000
482,9941234,www.wg-gesucht.de/wg-zimmer-in-Berlin-Spandau.9941234.html,30.05.2023,"Berlin
                                                                    Wittenau",Berlin,                                                                   Wittenau,Muster Str. 1,379€,5000,5000,5000,10m²,01.06.2023,30.09.2023,20230424,5000
483,9941209,www.wg-gesucht.de/wg-zimmer-in-Berlin-Spandau.9941209.html,30.05.2023,"Berlin
                                                                    Kreuzberg",Berlin,                                                                   Kreuzberg,Muster Str. 1,450€,5000,5000,5000,14m²,01.06.2023,31.07.2023,20230424,5000
484,10117803,www.wg-gesucht.de/wg-zimmer-in-Berlin-Kreuzberg.10117803.html,30.05.2023,"Berlin
                                                                    Spandau",Berlin,                                                                   Spandau,Muster Str. 1,620€,5000,5000,5000,24m²,01.07.2023,01.07.2024,20230424,5000
485,8858254,www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedenau.8858254.html,30.05.2023,"Berlin
                                                                    Spandau",Berlin,                                                                   Spandau,Muster Str. 1,580€,5000,5000,5000,19m²,01.07.2023,01.07.2024,20230424,5000
486,9746101,www.wg-gesucht.de/wg-zimmer-in-Berlin-Prenzlauer-Berg.9746101.html,30.05.2023,"Berlin
                                                                    Kreuzberg",Berlin,                                                                   Kreuzberg,Muster Str. 1,600€,5000,5000,5000,40m²,07.06.2023,28.06.2023,20230424,5000
487,6598902,www.wg-gesucht.de/wg-zimmer-in-Berlin-Neukoelln.6598902.html,30.05.2023,"Berlin
                                                                    Friedenau",Berlin,                                                                   Friedenau,Muster Str. 1,750€,5000,5000,5000,25m²,01.07.2023,01.10.2023,20230424,5000
488,10123556,www.wg-gesucht.de/wg-zimmer-in-Berlin-Charlottenburg-Wilmersdorf.10123556.html,30.05.2023,"Berlin
                                                                    Prenzlauer Berg",Berlin,                                                                   Prenzlauer Berg,Muster Str. 1,1295€,5000,5000,5000,30m²,15.11.2023,31.12.2024,20230424,5000
489,10083050,www.wg-gesucht.de/wg-zimmer-in-Berlin-Wedding.10083050.html,30.05.2023,"Berlin
                                                                    Neukölln",Berlin,                                                                   Neukölln,Muster Str. 1,490€,5000,5000,5000,15m²,10.06.2023,31.10.2023,20230424,5000
490,9356374,www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichshain-Kreuzberg.9356374.html,30.05.2023,"Berlin
                                                                    Charlottenburg-Wilmersdorf",Berlin,                                                                   Charlottenburg-Wilmersdorf,Muster Str. 1,653€,5000,5000,5000,21m²,01.06.2023,01.09.2023,20230424,5000
491,9088292,www.wg-gesucht.de/wg-zimmer-in-Berlin.9088292.html,30.05.2023,"Berlin
                                                                    Wedding",Berlin,                                                                   Wedding,Muster Str. 1,850€,5000,5000,5000,20m²,01.06.2023,01.09.2023,20230424,5000
492,10120601,www.wg-gesucht.de/wg-zimmer-in-Berlin-Prenzlauer-Berg.10120601.html,30.05.2023,"Berlin
                                                                    Friedrichshain-Kreuzberg",Berlin,                                                                   Friedrichshain-Kreuzberg,Muster Str. 1,500€,5000,5000,5000,28m²,05.06.2023,,20230424,5000
493,9839179,www.wg-gesucht.de/wg-zimmer-in-Berlin-Prenzlauer-Berg.9839179.html,30.05.2023,Berlin,Berlin,Berlin,Muster Str. 1,600€,5000,5000,5000,15m²,10.06.2023,31.07.2023,20230424,5000
494,8077967,www.wg-gesucht.de/wg-zimmer-in-Berlin-Schoeneberg.8077967.html,30.05.2023,"Berlin
                                                                    Prenzlauer Berg",Berlin,                                                                   Prenzlauer Berg,Muster Str. 1,800€,5000,5000,5000,22m²,30.05.2023,01.09.2023,20230424,5000
495,9757391,www.wg-gesucht.de/wg-zimmer-in-Berlin-Charlottenburg.9757391.html,30.05.2023,"Berlin
                                                                    Prenzlauer Berg",Berlin,                                                                   Prenzlauer Berg,Muster Str. 1,200€,5000,5000,5000,25m²,20.06.2023,02.07.2023,20230424,5000
496,7430860,www.wg-gesucht.de/wg-zimmer-in-Berlin.7430860.html,30.05.2023,"Berlin
                                                                    Schöneberg",Berlin,                                                                   Schöneberg,Muster Str. 1,664€,5000,5000,5000,12m²,01.06.2023,,20230424,5000
497,10122392,www.wg-gesucht.de/wg-zimmer-in-Berlin.10122392.html,30.05.2023,"Berlin
                                                                    Charlottenburg",Berlin,                                                                   Charlottenburg,Muster Str. 1,700€,5000,5000,5000,23m²,01.07.2023,30.09.2023,20230424,5000
498,10012722,www.wg-gesucht.de/wg-zimmer-in-Berlin-Hellersdorf.10012722.html,30.05.2023,Berlin,Berlin,Berlin,Muster Str. 1,750€,5000,5000,5000,25m²,01.06.2023,31.08.2023,20230424,5000
499,10121242,www.wg-gesucht.de/wg-zimmer-in-Berlin-Adlershof.10121242.html,30.05.2023,Berlin,Berlin,Berlin,Muster Str. 1,415€,5000,5000,5000,32m²,15.06.2023,,20230424,5000
500,7293058,www.wg-gesucht.de/wg-zimmer-in-Berlin-Treptow.7293058.html,31.05.2023,Zimmer von HousingAnywhere*,Zimmervon HousingAnywhere*,Zimmervon HousingAnywhere*,Muster Str. 1,590 €,5000,5000,5000,19m²,01.06.2023,,20230424,5000
501,10072783,www.wg-gesucht.de/wg-zimmer-in-Berlin-Prenzlauer-Berg.10072783.html,31.05.2023,Zimmer von Spotahome*,Zimmervon Spotahome*,Zimmervon Spotahome*,Muster Str. 1,530 €,5000,5000,5000,18m²,01.06.2023,,20230424,5000
502,10034328,www.wg-gesucht.de/wg-zimmer-in-Berlin-Niederschoeneweide.10034328.html,30.05.2023,"Berlin
                                                                    Treptow",Berlin,                                                                   Treptow,Muster Str. 1,550€,5000,5000,5000,18m²,17.07.2023,24.08.2023,20230424,5000
503,10121707,www.wg-gesucht.de/wg-zimmer-in-Berlin-Rummelsburg.10121707.html,30.05.2023,"Berlin
                                                                    Prenzlauer Berg",Berlin,                                                                   Prenzlauer Berg,Muster Str. 1,450€,5000,5000,5000,12m²,15.06.2023,,20230424,5000
504,6428741,www.wg-gesucht.de/wg-zimmer-in-Berlin-Lichtenberg.6428741.html,30.05.2023,"Berlin
                                                                    Niederschöneweide",Berlin,                                                                   Niederschöneweide,Muster Str. 1,750€,5000,5000,5000,25m²,15.08.2023,20.12.2023,20230424,5000
505,7389417,www.wg-gesucht.de/wg-zimmer-in-Berlin-Neukoelln.7389417.html,30.05.2023,"Berlin
                                                                    Rummelsburg",Berlin,                                                                   Rummelsburg,Muster Str. 1,636€,5000,5000,5000,24m²,01.07.2023,,20230424,5000
506,10123747,www.wg-gesucht.de/wg-zimmer-in-Berlin-Charlottenburg-Nord.10123747.html,30.05.2023,"Berlin
                                                                    Lichtenberg",Berlin,                                                                   Lichtenberg,Muster Str. 1,550€,5000,5000,5000,15m²,02.06.2023,02.08.2023,20230424,5000
507,10122221,www.wg-gesucht.de/wg-zimmer-in-Berlin-Pankow.10122221.html,30.05.2023,"Berlin
                                                                    Neukölln",Berlin,                                                                   Neukölln,Muster Str. 1,600€,5000,5000,5000,22m²,14.06.2023,24.07.2023,20230424,5000
508,6676887,www.wg-gesucht.de/wg-zimmer-in-Berlin-Schoeneberg.6676887.html,30.05.2023,"Berlin
                                                                    Charlottenburg-Nord",Berlin,                                                                   Charlottenburg-Nord,Muster Str. 1,870€,5000,5000,5000,13m²,01.07.2023,,20230424,5000
509,10122299,www.wg-gesucht.de/wg-zimmer-in-Berlin-Prenzlauer-Berg.10122299.html,30.05.2023,"Berlin
                                                                    Pankow",Berlin,                                                                   Pankow,Muster Str. 1,350€,5000,5000,5000,13m²,02.06.2023,16.06.2023,20230424,5000
510,8598548,www.wg-gesucht.de/wg-zimmer-in-Berlin.8598548.html,30.05.2023,"Berlin
                                                                    Schöneberg",Berlin,                                                                   Schöneberg,Muster Str. 1,980€,5000,5000,5000,18m²,01.07.2023,,20230424,5000
511,10047516,www.wg-gesucht.de/wg-zimmer-in-Berlin-Pankow.10047516.html,30.05.2023,"Berlin
                                                                    Prenzlauer Berg",Berlin,                                                                   Prenzlauer Berg,Muster Str. 1,850€,5000,5000,5000,24m²,22.06.2023,10.07.2023,20230424,5000
512,8717864,www.wg-gesucht.de/wg-zimmer-in-Berlin-Wilmersdorf.8717864.html,30.05.2023,Berlin,Berlin,Berlin,Muster Str. 1,600€,5000,5000,5000,15m²,01.06.2023,,20230424,5000
513,7554420,www.wg-gesucht.de/wg-zimmer-in-Berlin-Kreuzberg.7554420.html,30.05.2023,"Berlin
                                                                    Pankow",Berlin,                                                                   Pankow,Muster Str. 1,690€,5000,5000,5000,25m²,15.06.2023,,20230424,5000
514,10123706,www.wg-gesucht.de/wg-zimmer-in-Berlin-Treptow-Kpenik.10123706.html,30.05.2023,"Berlin
                                                                    Wilmersdorf",Berlin,                                                                   Wilmersdorf,Muster Str. 1,800€,5000,5000,5000,15m²,01.09.2023,,20230424,5000
515,10119116,www.wg-gesucht.de/wg-zimmer-in-Berlin-Zehlendorf.10119116.html,30.05.2023,"Berlin
                                                                    Kreuzberg",Berlin,                                                                   Kreuzberg,Muster Str. 1,525€,5000,5000,5000,17m²,15.06.2023,30.06.2023,20230424,5000
516,10119037,www.wg-gesucht.de/wg-zimmer-in-Berlin.10119037.html,30.05.2023,"Berlin
                                                                    Treptow-Kpenik",Berlin,                                                                   Treptow-Kpenik,Muster Str. 1,560€,5000,5000,5000,22m²,01.07.2023,30.09.2023,20230424,5000
517,3536171,www.wg-gesucht.de/wg-zimmer-in-Berlin-Prenzlauer-Berg.3536171.html,30.05.2023,"Berlin
                                                                    Zehlendorf",Berlin,                                                                   Zehlendorf,Muster Str. 1,630€,5000,5000,5000,14m²,01.09.2023,,20230424,5000
518,10123674,www.wg-gesucht.de/wg-zimmer-in-Berlin-Kollwitzkiez.10123674.html,30.05.2023,Berlin,Berlin,Berlin,Muster Str. 1,730€,5000,5000,5000,20m²,01.09.2023,,20230424,5000
519,7031868,www.wg-gesucht.de/wg-zimmer-in-Berlin-Neukoelln.7031868.html,30.05.2023,"Berlin
                                                                    Prenzlauer Berg",Berlin,                                                                   Prenzlauer Berg,Muster Str. 1,650€,5000,5000,5000,16m²,05.06.2023,22.08.2023,20230424,5000
520,7847181,www.wg-gesucht.de/wg-zimmer-in-Berlin-Schoeneberg.7847181.html,31.05.2023,Zimmer von HousingAnywhere*,Zimmervon HousingAnywhere*,Zimmervon HousingAnywhere*,Muster Str. 1,550 €,5000,5000,5000,13m²,01.06.2023,,20230424,5000
521,10123645,www.wg-gesucht.de/wg-zimmer-in-Berlin-Lichtenberg.10123645.html,31.05.2023,Zimmer von Spotahome*,Zimmervon Spotahome*,Zimmervon Spotahome*,Muster Str. 1,510 €,5000,5000,5000,21m²,01.06.2023,,20230424,5000
522,9191174,www.wg-gesucht.de/wg-zimmer-in-Berlin-Schoeneberg.9191174.html,30.05.2023,"Berlin
                                                                    Schöneberg",Berlin,                                                                   Schöneberg,Muster Str. 1,550€,5000,5000,5000,25m²,01.08.2023,31.12.2023,20230424,5000
523,8992373,www.wg-gesucht.de/wg-zimmer-in-Berlin-Schoeneberg.8992373.html,30.05.2023,"Berlin
                                                                    Lichtenberg",Berlin,                                                                   Lichtenberg,Muster Str. 1,772€,5000,5000,5000,20m²,01.07.2023,,20230424,5000
524,10057062,www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichshain.10057062.html,30.05.2023,"Berlin
                                                                    Schöneberg",Berlin,                                                                   Schöneberg,Muster Str. 1,570€,5000,5000,5000,18m²,01.06.2023,,20230424,5000
525,9992020,www.wg-gesucht.de/wg-zimmer-in-Berlin-Mitte.9992020.html,30.05.2023,"Berlin
                                                                    Schöneberg",Berlin,                                                                   Schöneberg,Muster Str. 1,570€,5000,5000,5000,15m²,01.06.2023,,20230424,5000
526,8618702,www.wg-gesucht.de/wg-zimmer-in-Berlin.8618702.html,29.05.2023,"Berlin
                                                                    Friedrichshain",Berlin,                                                                   Friedrichshain,Muster Str. 1,600€,5000,5000,5000,15m²,01.06.2023,30.04.2024,20230424,5000
527,9897612,www.wg-gesucht.de/wg-zimmer-in-Berlin-Charlottenburg-Wilmersdorf.9897612.html,29.05.2023,"Berlin
                                                                    Mitte",Berlin,                                                                   Mitte,Muster Str. 1,750€,5000,5000,5000,16m²,19.06.2023,31.01.2024,20230424,5000
528,10049366,www.wg-gesucht.de/wg-zimmer-in-Berlin-Marzahn-Hellersdorf.10049366.html,29.05.2023,Berlin,Berlin,Berlin,Muster Str. 1,800€,5000,5000,5000,10m²,15.06.2023,15.08.2023,20230424,5000
529,8343477,www.wg-gesucht.de/wg-zimmer-in-Berlin-Wilmersdorf.8343477.html,29.05.2023,"Berlin
                                                                    Charlottenburg-Wilmersdorf",Berlin,                                                                   Charlottenburg-Wilmersdorf,Muster Str. 1,600€,5000,5000,5000,20m²,05.06.2023,10.07.2023,20230424,5000
530,9646909,www.wg-gesucht.de/wg-zimmer-in-Berlin-am-Nordbahnhof-S-Bahn.9646909.html,29.05.2023,"Berlin
                                                                    Marzahn-Hellersdorf",Berlin,                                                                   Marzahn-Hellersdorf,Muster Str. 1,19€,5000,5000,5000,19m²,01.06.2023,31.08.2023,20230424,5000
531,10117104,www.wg-gesucht.de/wg-zimmer-in-Berlin-Wedding.10117104.html,29.05.2023,"Berlin
                                                                    Wilmersdorf",Berlin,                                                                   Wilmersdorf,Muster Str. 1,1495€,5000,5000,5000,77m²,01.07.2023,01.07.2024,20230424,5000
532,10122664,www.wg-gesucht.de/wg-zimmer-in-Berlin-Wedding.10122664.html,29.05.2023,"Berlin
                                                                    am Nordbahnhof S Bahn",Berlin,                                                                   am Nordbahnhof S Bahn,Muster Str. 1,500€,5000,5000,5000,14m²,03.06.2023,31.08.2023,20230424,5000
533,10120328,www.wg-gesucht.de/wg-zimmer-in-Berlin-Moabit.10120328.html,29.05.2023,"Berlin
                                                                    Wedding",Berlin,                                                                   Wedding,Muster Str. 1,700€,5000,5000,5000,30m²,14.06.2023,07.07.2023,20230424,5000
