,Unnamed: 0,Rubrik,Eintrag,Miete,Größe,Stadtteil,frei ab,frei bis,Unnamed: 8,Lease term,EUR / SQM
21,,2.0,17.01.2023,1545.0,63.0,Berlin,2023-04-17,2023-07-31,,3.0,24.523809523809526
22,,,,,,,,,,,
0,,,22.04.2023,700.0,35.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,20.0
1,,,22.04.2023,670.0,40.0,Wohnungen von Spotahome*,2023-04-23,,,,16.75
2,,2.0,16.01.2023,1410.0,60.0,Berlin  Charlottenburg-Wilmersdorf,2024-04-02,2025-11-01,,19.0,23.5
3,,3.0,15.01.2023,1000.0,84.0,Berlin  Charlottenburg,2023-09-01,2024-03-31,,6.0,11.904761904761905
4,,2.0,13.01.2023,36.0,54.0,Berlin  Lichtenberg,2023-02-13,2023-03-03,,1.0,0.6666666666666666
5,,2.0,13.01.2023,900.0,40.0,Berlin  Köpenick,2023-08-01,2023-12-01,,4.0,22.5
6,,2.0,11.01.2023,660.0,54.0,Berlin  Wedding,2023-05-01,,,,12.222222222222221
7,,2.0,11.01.2023,1081.0,82.0,Berlin  Alt-Treptow,2023-04-15,,,,13.182926829268293
8,,,09.01.2023,50.0,40.0,Berlin,2023-01-18,2023-02-10,,1.0,1.25
9,,2.0,08.01.2023,1350.0,64.0,Berlin  Wilmersdorf,2023-05-01,2023-12-31,,7.0,21.09375
10,,2.0,08.01.2023,300.0,53.0,Berlin,2024-02-17,2024-02-25,,0.0,5.660377358490566
11,,2.0,04.01.2023,1290.0,80.0,Berlin  Charlottenburg,2022-08-12,2022-10-12,,2.0,16.125
12,,3.0,03.01.2023,140.0,80.0,Berlin  Kreuzberg,2023-01-05,2023-01-08,,0.0,1.75
13,,2.0,03.01.2023,950.0,70.0,Berlin  Neukölln,2022-12-13,2023-01-14,,1.0,13.571428571428571
14,,15.0,02.01.2023,1200.0,42.0,Berlin  Kreuzberg,2023-10-15,2024-03-31,,5.0,28.571428571428573
15,,2.0,01.01.2023,939.0,71.0,Berlin  Wedding,2023-09-01,,,,13.225352112676056
16,,15.0,31.12.2022,700.0,36.0,Berlin  Prenzlauer Berg,2022-01-31,2023-04-01,,15.0,19.444444444444443
17,,3.0,30.12.2022,1879.0,93.0,Berlin  Kreuzberg,2022-01-03,2023-03-31,,14.0,20.204301075268816
18,,,28.12.2022,40.0,38.0,Berlin  Moabit,2023-01-02,2023-01-20,,0.0,1.0526315789473684
19,,2.0,28.12.2022,1500.0,70.0,Berlin  Pankow,2022-12-03,2023-01-27,,1.0,21.428571428571427
20,,1.0,28.12.2022,50.0,50.0,Berlin  Weißensee,2022-12-29,2023-01-02,,1.0,1.0
21,,2.0,27.12.2022,1000.0,80.0,Berlin  Neukölln,2022-01-01,2023-02-24,,13.0,12.5
22,,,,,,,,,,,
0,,,22.04.2023,380.0,30.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,12.666666666666666
1,,,22.04.2023,360.0,30.0,Wohnungen von Spotahome*,2023-04-23,,,,12.0
2,,2.0,26.12.2022,1200.0,83.0,Berlin  Weißensee,2023-08-01,2024-08-01,,12.0,14.457831325301205
3,,,26.12.2022,30.0,29.0,Berlin  Kreuzberg,2023-01-10,2023-01-26,,0.0,1.0344827586206897
4,,1.0,24.12.2022,900.0,27.0,Berlin  Charlottenburg,2022-12-24,2022-12-31,,0.0,33.333333333333336
5,,3.0,24.12.2022,90.0,80.0,Berlin  Friedrichshain-Kreuzberg,2022-12-23,2023-01-14,,1.0,1.125
6,,3.0,23.12.2022,70.0,120.0,Berlin  Mitte,2022-12-28,2023-01-03,,1.0,0.5833333333333334
7,,3.0,22.12.2022,2850.0,100.0,Berlin  Friedrichshain-Kreuzberg,2025-05-01,2026-12-31,,19.0,28.5
8,,3.0,22.12.2022,85.0,75.0,Berlin  Mitte,2022-12-24,2023-01-07,,1.0,1.1333333333333333
9,,2.0,21.12.2022,80.0,37.0,Berlin  Friedrichshain,2022-12-28,2023-01-02,,1.0,2.1621621621621623
10,,2.0,19.12.2022,1440.0,55.0,Berlin  Halensee,2023-12-01,2025-12-01,,24.0,26.181818181818183
11,,15.0,18.12.2022,60.0,42.0,Berlin,2022-12-17,2023-04-30,,4.0,1.4285714285714286
12,,3.0,16.12.2022,35.0,120.0,Berlin  Friedrichshain-Kreuzberg,2022-12-22,2023-01-01,,1.0,0.2916666666666667
13,,2.0,16.12.2022,1050.0,63.0,Berlin  Neukölln,2022-01-01,2023-03-01,,14.0,16.666666666666668
14,,2.0,16.12.2022,85.0,65.0,Berlin  Berlin,2022-12-23,2023-01-07,,1.0,1.3076923076923077
15,,15.0,15.12.2022,50.0,44.0,Berlin  Moabit,2022-12-19,2023-01-02,,1.0,1.1363636363636365
16,,25.0,14.12.2022,50.0,56.0,Berlin  Neukölln,2023-01-26,2023-02-05,,1.0,0.8928571428571429
17,,,13.12.2022,65.0,38.0,Berlin  Mitte,2022-12-28,2023-01-06,,1.0,1.7105263157894737
18,,2.0,13.12.2022,80.0,70.0,Berlin  Wedding,2022-12-27,2023-01-08,,1.0,1.1428571428571428
19,,1.0,11.12.2022,45.0,40.0,Berlin  Heinersdorf,2022-12-21,2023-01-01,,1.0,1.125
20,,2.0,08.12.2022,50.0,65.0,Berlin  Kreuzberg,2022-12-13,2023-01-09,,1.0,0.7692307692307693
21,,2.0,07.12.2022,100.0,60.0,Berlin  Kreuzberg,2022-12-07,2023-03-31,,3.0,1.6666666666666667
22,,,,,,,,,,,
0,,,22.04.2023,240.0,35.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,6.857142857142857
1,,,22.04.2023,220.0,30.0,Wohnungen von Spotahome*,2023-04-23,,,,7.333333333333333
2,,,07.12.2022,60.0,38.0,Berlin  Nrukölln,2022-12-09,2022-12-12,,0.0,1.5789473684210527
3,,,06.12.2022,50.0,38.0,Berlin  Moabit,2022-12-09,2022-12-14,,0.0,1.3157894736842106
4,,2.0,06.12.2022,1250.0,80.0,Berlin  Neukölln,2022-01-01,2023-05-31,,16.0,15.625
5,,,05.12.2022,85.0,40.0,Berlin,2022-12-10,2022-12-17,,0.0,2.125
6,,2.0,05.12.2022,30.0,55.0,Berlin  Friedrichshain-Kreuzberg,2022-12-17,2023-01-02,,1.0,0.5454545454545454
7,,,04.12.2022,70.0,45.0,Berlin  Prenzlauer Berg,2022-12-04,2023-01-04,,1.0,1.5555555555555556
8,,25.0,29.11.2022,65.0,70.0,Berlin  Steglitz,2022-12-14,2023-01-07,,1.0,0.9285714285714286
9,,2.0,28.11.2022,275.0,60.0,Berlin  Kreuzberg,2022-12-02,2022-12-05,,0.0,4.583333333333333
10,,25.0,28.11.2022,25.0,57.0,Berlin  Berlin,2022-12-23,2022-12-29,,0.0,0.43859649122807015
11,,2.0,28.11.2022,60.0,65.0,Berlin  Schiller Kiez,2022-12-28,2023-01-02,,1.0,0.9230769230769231
12,,,27.11.2022,50.0,45.0,Berlin  Neukölln,2022-12-21,2022-12-31,,0.0,1.1111111111111112
13,,3.0,27.11.2022,75.0,64.0,Berlin  Hellersdorf,2022-11-27,2023-01-10,,2.0,1.171875
14,,2.0,26.11.2022,100.0,80.0,Berlin  Neukölln,2022-12-12,2022-12-22,,0.0,1.25
15,,2.0,25.11.2022,70.0,50.0,Berlin  Kreuzberg,2022-12-21,2023-01-06,,1.0,1.4
16,,2.0,24.11.2022,80.0,58.0,Berlin  Friedrichshain,2022-12-20,2023-01-06,,1.0,1.3793103448275863
17,,,23.11.2022,700.0,20.0,Berlin  Neukölln,2022-03-01,2023-09-01,,18.0,35.0
18,,1.0,22.11.2022,27.0,20.0,Berlin  Neukölln,2022-12-20,2023-01-10,,1.0,1.35
19,,2.0,18.11.2022,50.0,50.0,Berlin  Prenzlauer Allee,2022-11-19,2022-11-29,,0.0,1.0
20,,2.0,18.11.2022,1660.0,70.0,Berlin  Wilmersdorf,2023-12-01,2025-10-01,,22.0,23.714285714285715
21,,2.0,15.11.2022,80.0,59.0,Berlin  Charlottenburg,2022-11-15,2023-01-15,,2.0,1.3559322033898304
22,,,,,,,,,,,
0,,,22.04.2023,440.0,50.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,8.8
1,,,22.04.2023,420.0,45.0,Wohnungen von Spotahome*,2023-04-23,,,,9.333333333333334
2,,35.0,15.11.2022,2150.0,120.0,Berlin  Prenzlauer Berg,2022-01-03,2023-02-15,,13.0,17.916666666666668
3,,2.0,14.11.2022,1282.0,58.0,Berlin  Kreuzberg,2023-07-15,,,,22.103448275862068
4,,,13.11.2022,447.0,41.0,Berlin  Schöneberg,2022-01-01,,,,10.902439024390244
5,,2.0,11.11.2022,40.0,64.0,Berlin  Wedding,2022-12-24,2022-12-28,,0.0,0.625
6,,2.0,09.11.2022,100.0,55.0,Berlin  Rummelsburg,2022-11-25,2022-11-27,,0.0,1.8181818181818181
7,,15.0,08.11.2022,75.0,47.0,Berlin  Neukölln,2022-12-19,2022-12-26,,0.0,1.5957446808510638
8,,2.0,07.11.2022,850.0,60.0,Berlin  Treptow,2024-04-15,2024-09-30,,5.0,14.166666666666666
9,,2.0,04.11.2022,70.0,66.0,Berlin  Berlin,2023-01-21,2023-02-03,,1.0,1.0606060606060606
10,,1.0,03.11.2022,85.0,38.0,Berlin  Neukölln,2022-11-03,2022-12-28,,1.0,2.236842105263158
11,,2.0,03.11.2022,120.0,70.0,Berlin  Friedrichshain,2022-11-13,2022-11-27,,0.0,1.7142857142857142
12,,3.0,01.11.2022,35.0,65.0,Berlin  Berlin,2022-11-04,2022-11-14,,0.0,0.5384615384615384
13,,,30.10.2022,25.0,45.0,Berlin  Neukölln,2022-11-15,2022-12-23,,1.0,0.5555555555555556
14,,1.0,26.10.2022,30.0,60.0,Berlin  Neukölln,2022-10-29,2022-11-09,,1.0,0.5
15,,2.0,25.10.2022,1316.0,50.0,Berlin  Prenzlauer Berg,2022-09-01,,,,26.32
