,Unnamed: 0,Rubrik,Eintrag,Miete,Größe,Stadtteil,frei ab,frei bis,Unnamed: 8,Lease term,EUR / SQM
0,,,22.04.2023,800.0,35.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,22.857142857142858
1,,,22.04.2023,700.0,50.0,Wohnungen von Spotahome*,2023-04-23,,,,14.0
2,,2.0,22.04.2023,1000.0,60.0,Berlin,2023-06-01,,,,16.666666666666668
3,,,22.04.2023,280.0,39.0,Berlin  Weißensee,2023-05-01,2023-05-08,,0.0,7.17948717948718
4,,,22.04.2023,1100.0,35.0,Berlin  Mitte,2023-05-05,2023-06-25,,1.0,31.428571428571427
5,,1.0,22.04.2023,650.0,40.0,Berlin  Treptow,2023-05-01,,,,16.25
6,,,22.04.2023,800.0,38.0,Berlin  Wilmersdorf,2023-06-03,2023-06-16,,0.0,21.05263157894737
7,,1.0,22.04.2023,40.0,62.0,Berlin  Neukölln,2023-04-23,2023-05-10,,1.0,0.6451612903225806
8,,4.0,22.04.2023,2150.0,100.0,Berlin  Prenzlauer Berg,2023-05-18,2023-06-06,,1.0,21.5
9,,2.0,22.04.2023,450.0,52.0,Berlin  Wedding/Reinickendorf,2023-05-03,2023-05-08,,0.0,8.653846153846153
10,,2.0,22.04.2023,1080.0,49.0,Berlin  Mitte,2023-04-24,2023-05-14,,1.0,22.040816326530614
11,,2.0,22.04.2023,1399.0,48.0,Berlin  Berlin,2023-04-21,,,,29.145833333333332
12,,3.0,22.04.2023,2000.0,74.0,Berlin  Reinickendorf,2023-10-01,,,,27.027027027027028
13,,2.0,22.04.2023,1300.0,70.0,Berlin  Neukölln,2023-04-25,2023-06-23,,2.0,18.571428571428573
14,,3.0,22.04.2023,600.0,105.0,Berlin  Friedrichshain,2023-05-04,2023-05-09,,0.0,5.714285714285714
15,,,22.04.2023,1199.0,32.0,Berlin  Lichtenberg,2023-04-24,,,,37.46875
16,,2.0,22.04.2023,800.0,55.0,Berlin  Kreuzberg,2023-05-03,2023-09-25,,4.0,14.545454545454545
17,,2.0,22.04.2023,1600.0,55.0,Berlin  Neukölln,2023-06-01,2024-05-31,,11.0,29.09090909090909
18,,3.0,22.04.2023,841.0,67.0,Berlin  Prenzlauer Berg,2023-07-15,,,,12.552238805970148
19,,2.0,22.04.2023,500.0,70.0,Berlin  Neukölln,2023-04-28,2023-05-04,,1.0,7.142857142857143
20,,1.0,22.04.2023,1600.0,55.0,Berlin,2023-05-01,2023-05-31,,0.0,29.09090909090909
21,,,22.04.2023,600.0,36.0,Berlin  Neukölln,2023-04-27,2023-05-22,,1.0,16.666666666666668
22,,,,,,,,,,,
0,,,22.04.2023,770.0,40.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,19.25
1,,,22.04.2023,760.0,45.0,Wohnungen von Spotahome*,2023-04-23,,,,16.88888888888889
2,,2.0,22.04.2023,1400.0,85.0,Berlin  Mitte,2023-05-16,2023-06-30,,1.0,16.470588235294116
3,,2.0,22.04.2023,1200.0,65.0,Berlin  Pankow,2023-05-02,2023-06-02,,1.0,18.46153846153846
4,,3.0,22.04.2023,1700.0,87.0,Berlin  Gesundbrunnen,2023-06-12,2023-08-20,,2.0,19.54022988505747
5,,2.0,22.04.2023,650.0,44.0,Berlin  Steglitz-Zehlendorf,2023-07-08,2023-08-05,,1.0,14.772727272727273
6,,3.0,22.04.2023,1950.0,106.0,Berlin  Charlottenburg,2023-04-22,2025-04-21,,24.0,18.39622641509434
7,,1.0,22.04.2023,500.0,20.0,Berlin  Schöneberg,2023-04-24,2023-05-24,,1.0,25.0
8,,1.0,22.04.2023,1190.0,24.0,Berlin  Prenzlauer Berg,2023-04-22,,,,49.583333333333336
9,,,22.04.2023,700.0,72.0,Berlin,2023-05-03,2023-07-03,,2.0,9.722222222222221
10,,,22.04.2023,670.0,36.0,Berlin  Zehlendorf,2023-04-23,2023-12-01,,8.0,18.61111111111111
11,,,22.04.2023,360.0,22.0,Berlin  Fennpfuhl,2023-05-01,2023-05-14,,0.0,16.363636363636363
12,,,22.04.2023,400.0,42.0,Berlin  Friedrichshain,2023-04-27,2023-05-15,,1.0,9.523809523809524
13,,25.0,22.04.2023,2500.0,90.0,Berlin  Mitte,2023-05-20,2023-06-21,,1.0,27.77777777777778
14,,2.0,22.04.2023,900.0,50.0,Berlin  Prenzlauer Berg,2023-05-05,2023-05-29,,0.0,18.0
15,,1.0,22.04.2023,1380.0,38.0,Berlin  Mitte,2023-07-15,2024-12-31,,17.0,36.31578947368421
16,,,22.04.2023,650.0,45.0,Berlin  Neukölln,2023-05-10,2023-06-03,,1.0,14.444444444444445
17,,2.0,22.04.2023,850.0,53.0,Berlin  Prenzlauer Berg,2023-05-01,2023-06-04,,1.0,16.037735849056602
18,,1.0,22.04.2023,1290.0,28.0,Berlin  Prenzlauer Berg,2023-04-22,,,,46.07142857142857
19,,,22.04.2023,690.0,40.0,Berlin  Moabit,2023-04-24,2023-05-31,,1.0,17.25
20,,2.0,22.04.2023,1200.0,68.0,Berlin  Friedrichshain,2023-05-26,2023-07-21,,2.0,17.647058823529413
21,,2.0,22.04.2023,450.0,68.0,Berlin  Neukölln,2023-04-26,2023-05-10,,1.0,6.617647058823529
22,,,,,,,,,,,
0,,,22.04.2023,1040.0,45.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,23.11111111111111
1,,,22.04.2023,950.0,35.0,Wohnungen von Spotahome*,2023-04-23,,,,27.142857142857142
2,,2.0,22.04.2023,1600.0,55.0,Berlin  Neukölln,2023-05-09,2023-07-12,,2.0,29.09090909090909
3,,,22.04.2023,990.0,24.0,Berlin  Friedrichshain,2023-05-01,,,,41.25
4,,,22.04.2023,840.0,17.0,Berlin  Mitte,2023-09-01,,,,49.411764705882355
5,,4.0,22.04.2023,2400.0,120.0,Berlin  Hermsdorf,2023-06-01,,,,20.0
6,,1.0,22.04.2023,710.0,38.0,Berlin  Niederschöneweide,2023-06-01,,,,18.68421052631579
7,,,22.04.2023,800.0,45.0,Berlin  Schöneberg,2023-05-01,2023-09-01,,4.0,17.77777777777778
8,,2.0,22.04.2023,1000.0,50.0,Berlin  Friedenau,2023-05-10,2023-07-10,,2.0,20.0
9,,,22.04.2023,995.0,50.0,Berlin  Mitte,2023-06-01,,,,19.9
10,,2.0,22.04.2023,1000.0,90.0,Berlin  Heiligensee,2023-05-01,2023-05-31,,0.0,11.11111111111111
11,,2.0,22.04.2023,950.0,50.0,Berlin  Prenzlauer Berg,2023-04-22,2023-07-10,,3.0,19.0
12,,,22.04.2023,825.0,40.0,Berlin  Wedding,2023-07-01,2024-07-01,,12.0,20.625
13,,2.0,22.04.2023,870.0,45.0,Berlin  Lichtenberg,2023-04-29,2023-07-01,,3.0,19.333333333333332
14,,,22.04.2023,1369.0,32.0,Berlin  Kreuzberg,2023-04-22,2025-12-27,,32.0,42.78125
15,,,22.04.2023,1600.0,60.0,Berlin  Wilmersdorf,2023-04-22,,,,26.666666666666668
16,,,22.04.2023,894.0,20.0,Berlin  Kreuzberg,2023-04-22,2025-06-10,,26.0,44.7
17,,25.0,22.04.2023,450.0,80.0,Berlin  Prenzlauer Berg,2023-07-01,,,,5.625
18,,1.0,22.04.2023,2817.0,74.0,Berlin  Schöneberg,2023-04-22,,,,38.067567567567565
19,,,22.04.2023,984.0,20.0,Berlin  Kreuzberg,2023-04-22,2025-12-27,,32.0,49.2
20,,1.0,22.04.2023,2555.0,75.0,Berlin  Prenzlauer Berg,2023-04-22,,,,34.06666666666667
21,,2.0,22.04.2023,3035.0,106.0,Berlin  Friedrichshain,2023-04-22,,,,28.632075471698112
22,,,,,,,,,,,
0,,,22.04.2023,970.0,50.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,19.4
1,,,22.04.2023,900.0,35.0,Wohnungen von Spotahome*,2023-04-23,,,,25.714285714285715
2,,,22.04.2023,65.0,50.0,Berlin  Mitte,2023-04-29,2023-05-09,,1.0,1.3
3,,,22.04.2023,1590.0,48.0,Berlin,2023-05-01,,,,33.125
4,,,22.04.2023,1100.0,41.0,Berlin  Wedding,2023-05-01,2023-07-14,,2.0,26.829268292682926
5,,2.0,22.04.2023,1320.0,50.0,Berlin  Charlottenburg,2023-08-01,,,,26.4
6,,1.0,22.04.2023,2520.0,77.0,Berlin  Kreuzberg,2023-04-22,,,,32.72727272727273
7,,,22.04.2023,885.0,40.0,Berlin  Wedding,2023-04-24,,,,22.125
8,,1.0,22.04.2023,2992.0,55.0,Berlin  Friedrichshain,2023-04-22,,,,54.4
9,,,22.04.2023,1494.0,42.0,Berlin  Friedrichshain,2023-05-01,2024-07-31,,14.0,35.57142857142857
10,,,22.04.2023,1290.0,48.0,Berlin  Steglitz-Zehlendorf,2023-04-23,,,,26.875
11,,2.0,22.04.2023,750.0,51.0,Berlin  Charlottenburg,2023-04-22,,,,14.705882352941176
12,,1.0,22.04.2023,680.0,45.0,Berlin  Neukölln,2023-06-01,,,,15.11111111111111
13,,,22.04.2023,2140.0,64.0,Berlin  Köpenick,2023-04-22,,,,33.4375
14,,2.0,22.04.2023,500.0,69.0,Berlin  Friedrichshain,2023-05-01,2023-05-30,,0.0,7.246376811594203
15,,1.0,22.04.2023,200.0,39.0,Berlin  Kreuzberg,2023-05-25,2023-05-31,,0.0,5.128205128205129
16,,,22.04.2023,2100.0,52.0,Berlin  Köpenick,2023-04-22,,,,40.38461538461539
17,,,22.04.2023,750.0,49.0,Berlin  Köpenick,2023-05-01,2023-07-31,,2.0,15.306122448979592
18,,,22.04.2023,1100.0,35.0,Berlin,2023-06-01,,,,31.428571428571427
19,,2.0,22.04.2023,1010.0,49.0,Berlin  Friedrichshain,2023-06-01,2023-07-31,,1.0,20.612244897959183
20,,2.0,22.04.2023,1300.0,50.0,Berlin  Charlottenburg-Wilmersdorf,2023-05-15,2023-06-19,,1.0,26.0
21,,2.0,22.04.2023,1150.0,65.0,Berlin  Prenzlauer Berg,2023-05-17,2023-08-31,,3.0,17.692307692307693
22,,,,,,,,,,,
0,,,22.04.2023,720.0,45.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,16.0
1,,,22.04.2023,670.0,45.0,Wohnungen von Spotahome*,2023-04-23,,,,14.88888888888889
2,,,22.04.2023,800.0,15.0,Berlin  Mitte,2023-05-02,2023-05-30,,0.0,53.333333333333336
3,,,22.04.2023,800.0,50.0,Berlin  Neukölln,2023-05-01,2023-06-01,,1.0,16.0
4,,2.0,22.04.2023,990.0,59.0,Berlin  Niederschöneweide,2023-05-05,2023-05-28,,0.0,16.779661016949152
5,,3.0,22.04.2023,580.0,12.0,Berlin  Hellersdorf,2023-04-22,,,,48.333333333333336
6,,3.0,22.04.2023,950.0,59.0,Berlin  Tiergarten,2023-06-02,2023-06-18,,0.0,16.10169491525424
7,,,22.04.2023,890.0,18.0,Berlin  Friedrichshain,2023-08-01,,,,49.44444444444444
8,,2.0,22.04.2023,1750.0,52.0,Berlin  Kreuzberg,2023-05-01,2024-04-30,,11.0,33.65384615384615
9,,1.0,22.04.2023,950.0,45.0,Berlin,2023-05-03,2023-06-03,,1.0,21.11111111111111
10,,,22.04.2023,760.0,17.0,Berlin  Lichtenberg,2023-04-22,,,,44.705882352941174
11,,,22.04.2023,900.0,42.0,Berlin  Neukölln,2023-05-23,2023-06-04,,1.0,21.428571428571427
12,,15.0,22.04.2023,840.0,42.0,Berlin  Tempelhof-Schöneberg,2023-05-15,2023-08-31,,3.0,20.0
13,,2.0,22.04.2023,974.0,55.0,Berlin  Gesundbrunnen,2023-06-01,,,,17.70909090909091
14,,2.0,22.04.2023,835.0,45.0,Berlin  Treptow,2023-05-06,2023-05-29,,0.0,18.555555555555557
15,,,22.04.2023,900.0,32.0,Berlin  Tempelhof,2023-04-22,2024-04-22,,12.0,28.125
16,,2.0,22.04.2023,400.0,48.0,Berlin  Kreuzkölln,2023-05-04,2023-05-14,,0.0,8.333333333333334
17,,2.0,22.04.2023,1495.0,62.0,Berlin  Wedding,2023-05-01,2024-04-30,,11.0,24.112903225806452
18,,2.0,22.04.2023,625.0,65.0,Berlin  Pankow,2023-05-13,2023-05-27,,0.0,9.615384615384615
19,,2.0,22.04.2023,349.0,65.0,Berlin  Pankow,2023-05-13,2023-05-21,,0.0,5.369230769230769
20,,35.0,22.04.2023,900.0,90.0,Berlin  Steglitz,2023-05-03,2023-06-24,,1.0,10.0
21,,2.0,22.04.2023,1500.0,50.0,Berlin  Gesundbrunnen,2023-05-01,2023-07-31,,2.0,30.0
22,,,,,,,,,,,
0,,,22.04.2023,870.0,30.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,29.0
1,,,22.04.2023,820.0,35.0,Wohnungen von Spotahome*,2023-04-23,,,,23.428571428571427
2,,2.0,22.04.2023,1200.0,52.0,Berlin  Alt-Treptow,2023-04-30,2023-09-22,,5.0,23.076923076923077
3,,,22.04.2023,1170.0,22.0,Berlin  Friedrichshain,2023-05-01,,,,53.18181818181818
4,,15.0,22.04.2023,700.0,75.0,Berlin  Mitte,2023-05-01,2023-05-31,,0.0,9.333333333333334
5,,2.0,22.04.2023,835.0,55.0,Berlin,2023-05-01,2023-07-31,,2.0,15.181818181818182
6,,2.0,22.04.2023,787.0,55.0,Berlin  Kreuzberg,2023-04-22,2023-07-08,,3.0,14.309090909090909
7,,2.0,22.04.2023,1280.0,100.0,Berlin  Friedrichshain /Lichtenberg,2023-04-28,2023-05-28,,1.0,12.8
8,,3.0,22.04.2023,1550.0,110.0,Berlin  Dahlem,2023-05-26,2023-07-26,,2.0,14.090909090909092
9,,,22.04.2023,1050.0,47.0,Berlin  Neukölln,2023-05-01,2023-12-01,,7.0,22.340425531914892
10,,25.0,22.04.2023,950.0,68.0,Berlin  Prenzlauer Berg,2023-05-10,2023-05-29,,0.0,13.970588235294118
11,,1.0,22.04.2023,1370.0,38.0,Berlin  Köpenick,2023-04-22,,,,36.05263157894737
12,,1.0,22.04.2023,980.0,25.0,Berlin  Köpenick,2023-04-22,,,,39.2
13,,2.0,22.04.2023,1054.0,58.0,Berlin  Berlin,2023-05-15,,,,18.17241379310345
14,,2.0,22.04.2023,1400.0,75.0,Berlin  Pankow,2023-05-09,2023-06-14,,1.0,18.666666666666668
15,,1.0,21.04.2023,1450.0,45.0,Berlin  Prenzlauer Berg,2023-05-01,2024-04-30,,11.0,32.22222222222222
16,,1.0,21.04.2023,1490.0,38.0,Berlin  Prenzlauer Berg,2023-06-20,2024-06-20,,12.0,39.21052631578947
17,,3.0,21.04.2023,840.0,85.0,Berlin  Neukölln,2023-05-05,2023-05-21,,0.0,9.882352941176471
18,,,21.04.2023,1550.0,57.0,Berlin  Mitte,2023-06-01,,,,27.19298245614035
19,,2.0,21.04.2023,700.0,54.0,Berlin,2023-06-04,2023-06-23,,0.0,12.962962962962964
20,,2.0,21.04.2023,450.0,65.0,Berlin  Neukölln,2023-05-04,2023-05-14,,0.0,6.923076923076923
21,,,21.04.2023,950.0,30.0,Berlin  Prenzlauer Berg,2023-05-05,2023-05-30,,0.0,31.666666666666668
22,,,,,,,,,,,
0,,,22.04.2023,880.0,45.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,19.555555555555557
1,,,22.04.2023,830.0,45.0,Wohnungen von Spotahome*,2023-04-23,,,,18.444444444444443
2,,2.0,21.04.2023,1280.0,80.0,Berlin  Steglitz-Zehlendorf,2023-05-01,,,,16.0
3,,2.0,21.04.2023,1200.0,85.0,Berlin,2023-08-01,2023-09-13,,1.0,14.117647058823529
4,,2.0,21.04.2023,2250.0,64.0,Berlin  Wilmersdorf,2023-05-01,2024-04-30,,11.0,35.15625
5,,2.0,21.04.2023,900.0,45.0,Berlin  Friedrichshain,2023-05-13,2023-08-06,,3.0,20.0
6,,,21.04.2023,700.0,30.0,Berlin  Adlershof,2023-05-01,2024-02-29,,9.0,23.333333333333332
7,,3.0,21.04.2023,1250.0,70.0,Berlin  Kreuzberg,2023-06-23,2023-09-01,,3.0,17.857142857142858
8,,15.0,21.04.2023,1300.0,41.0,Berlin  Reinickendorf,2023-05-08,2023-12-31,,7.0,31.70731707317073
9,,2.0,21.04.2023,1500.0,83.0,Berlin  Neukölln,2023-08-01,2023-11-01,,3.0,18.072289156626507
10,,2.0,21.04.2023,300.0,46.0,Berlin  Berlin,2023-05-02,2023-05-08,,0.0,6.521739130434782
11,,2.0,21.04.2023,1400.0,87.0,Berlin  Schöneberg,2023-05-05,2023-06-30,,1.0,16.091954022988507
12,,,21.04.2023,800.0,62.0,Berlin  Pankow,2023-04-30,2023-06-30,,2.0,12.903225806451612
13,,,21.04.2023,350.0,35.0,Berlin  Johannisthal,2023-04-27,2023-05-15,,1.0,10.0
14,,2.0,21.04.2023,835.0,54.0,Berlin  Wedding,2023-05-05,2023-06-30,,1.0,15.462962962962964
15,,3.0,21.04.2023,2250.0,80.0,Berlin  Mitte,2023-05-01,,,,28.125
16,,,21.04.2023,750.0,30.0,Berlin  Mitte,2023-05-01,2023-07-31,,2.0,25.0
17,,,21.04.2023,625.0,20.0,Berlin,2023-05-01,2023-06-28,,1.0,31.25
18,,2.0,21.04.2023,900.0,43.0,Berlin  Wedding,2023-05-08,2023-07-15,,2.0,20.930232558139537
19,,2.0,21.04.2023,1590.0,48.0,Berlin  Prenzlauer Berg,2023-05-01,,,,33.125
20,,,21.04.2023,950.0,60.0,Berlin  Prenzlauer Berg,2023-04-22,2023-05-20,,1.0,15.833333333333334
21,,2.0,21.04.2023,1100.0,55.0,Berlin  Mitte,2023-05-01,2023-06-18,,1.0,20.0
22,,,,,,,,,,,
0,,,22.04.2023,790.0,40.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,19.75
1,,,22.04.2023,740.0,40.0,Wohnungen von Spotahome*,2023-04-23,,,,18.5
2,,2.0,21.04.2023,1250.0,45.0,Berlin  Wedding,2023-04-21,2024-09-30,,17.0,27.77777777777778
3,,,21.04.2023,850.0,40.0,Berlin,2023-05-04,2023-05-21,,0.0,21.25
4,,2.0,21.04.2023,350.0,65.0,Berlin  Lichtenberg,2023-04-26,2023-05-03,,1.0,5.384615384615385
5,,15.0,21.04.2023,1400.0,40.0,Berlin  Kreuzberg,2023-06-07,2023-10-07,,4.0,35.0
6,,,21.04.2023,850.0,37.0,Berlin  Wedding,2023-05-01,2023-06-30,,1.0,22.972972972972972
7,,2.0,21.04.2023,700.0,38.0,Berlin  Berlin,2023-06-02,2023-06-20,,0.0,18.42105263157895
8,,4.0,21.04.2023,1850.0,90.0,Berlin  Pankow,2023-08-01,2024-07-31,,11.0,20.555555555555557
9,,3.0,21.04.2023,1.0,67.0,Berlin  Neukölln,2023-06-01,2023-07-01,,1.0,0.014925373134328358
10,,,21.04.2023,70.0,42.0,Berlin  Neukölln,2023-05-19,2023-05-23,,0.0,1.6666666666666667
11,,,21.04.2023,1150.0,39.0,Berlin  Mitte,2023-06-01,2024-05-31,,11.0,29.487179487179485
12,,2.0,21.04.2023,675.0,37.0,Berlin  Berln,2023-05-31,2023-06-14,,1.0,18.243243243243242
13,,2.0,21.04.2023,425.0,70.0,Berlin  Kreuzberg,2023-05-17,2023-05-21,,0.0,6.071428571428571
14,,3.0,21.04.2023,2000.0,80.0,Berlin  Prenzlauer Berg,2023-04-30,2023-05-16,,1.0,25.0
15,,,21.04.2023,1600.0,58.0,Berlin  Berlin,2023-11-01,2024-03-31,,4.0,27.586206896551722
16,,3.0,21.04.2023,850.0,49.0,Berlin  Moabit,2023-06-01,2023-10-01,,4.0,17.346938775510203
17,,2.0,21.04.2023,1600.0,60.0,Berlin  Mitte,2023-05-21,2023-09-03,,4.0,26.666666666666668
18,,,21.04.2023,380.0,27.0,Berlin  Hakenfelde,2023-05-01,,,,14.074074074074074
19,,2.0,21.04.2023,1200.0,55.0,Berlin  Kreuzberg,2023-05-13,2023-06-11,,1.0,21.818181818181817
20,,2.0,21.04.2023,1690.0,84.0,Berlin  Neukölln,2023-05-01,2024-05-01,,12.0,20.11904761904762
21,,,21.04.2023,990.0,46.0,Berlin  Friedrichshain,2023-05-03,2024-04-30,,11.0,21.52173913043478
22,,,,,,,,,,,
0,,,22.04.2023,740.0,50.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,14.8
1,,,22.04.2023,700.0,30.0,Wohnungen von Spotahome*,2023-04-23,,,,23.333333333333332
2,,2.0,21.04.2023,80.0,56.0,Berlin,2023-04-21,2023-08-15,,4.0,1.4285714285714286
3,,,21.04.2023,810.0,25.0,Berlin  Friedrichshain,2023-05-15,2023-11-14,,6.0,32.4
4,,2.0,21.04.2023,1300.0,75.0,Berlin  Schöneberg,2023-04-24,2023-05-31,,1.0,17.333333333333332
5,,35.0,21.04.2023,2000.0,120.0,Berlin  Berlin,2023-07-01,2023-11-01,,4.0,16.666666666666668
6,,2.0,21.04.2023,700.0,64.0,Berlin  Friedrichshain,2023-06-01,,,,10.9375
7,,2.0,21.04.2023,300.0,50.0,Berlin  Prenzlauer Berg,2023-05-23,2023-05-29,,0.0,6.0
8,,2.0,21.04.2023,600.0,56.0,Berlin  Mitte,2023-04-21,2023-05-01,,1.0,10.714285714285714
9,,2.0,21.04.2023,1500.0,60.0,Berlin  Friedrichshain-Kreuzberg,2023-04-25,2023-08-31,,4.0,25.0
10,,3.0,21.04.2023,85.0,58.0,Berlin,2023-05-08,2023-05-15,,0.0,1.4655172413793103
11,,3.0,21.04.2023,1850.0,110.0,Berlin  wedding-Mitte,2023-05-01,2023-06-30,,1.0,16.818181818181817
12,,2.0,21.04.2023,1200.0,60.0,Berlin  Neukölln,2023-04-23,2023-05-31,,1.0,20.0
13,,2.0,21.04.2023,850.0,53.0,Berlin  Schöneberg,2023-05-02,2023-06-01,,1.0,16.037735849056602
14,,2.0,21.04.2023,1300.0,55.0,Berlin  Prenzlauer Berg,2023-05-13,2023-06-25,,1.0,23.636363636363637
15,,,21.04.2023,780.0,48.0,Berlin  Berlin,2023-05-03,2023-07-31,,2.0,16.25
16,,2.0,21.04.2023,1100.0,63.0,Berlin,2023-07-07,2023-09-18,,2.0,17.46031746031746
17,,2.0,21.04.2023,700.0,63.0,Berlin  Prenzlauer Berg,2023-05-01,2023-05-15,,0.0,11.11111111111111
18,,2.0,21.04.2023,700.0,70.0,Berlin  Neukölln,2023-05-15,2023-05-22,,0.0,10.0
19,,15.0,21.04.2023,585.0,50.0,Berlin  Friedrichshain,2023-05-17,2023-05-27,,0.0,11.7
20,,2.0,21.04.2023,1450.0,51.0,Berlin  Oberschöneweide,2023-06-01,2025-06-01,,24.0,28.431372549019606
21,,15.0,21.04.2023,690.0,40.0,Berlin  Charlottenburg-Wilmersdorf,2023-05-15,2023-05-31,,0.0,17.25
22,,,,,,,,,,,
0,,,22.04.2023,880.0,35.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,25.142857142857142
1,,,22.04.2023,820.0,50.0,Wohnungen von Spotahome*,2023-04-23,,,,16.4
2,,2.0,21.04.2023,400.0,80.0,Berlin  ostkreuz,2023-04-24,2023-04-30,,0.0,5.0
3,,3.0,21.04.2023,700.0,70.0,Berlin  Kreuzberg,2023-04-22,2023-04-30,,0.0,10.0
4,,2.0,21.04.2023,980.0,50.0,Berlin  Wedding,2023-07-03,2023-11-19,,4.0,19.6
5,,,21.04.2023,1200.0,35.0,Berlin  Schöneberg,2023-05-01,,,,34.285714285714285
6,,2.0,21.04.2023,1400.0,57.0,Berlin  Prenzlauer Berg,2023-06-16,2023-06-26,,0.0,24.56140350877193
7,,,21.04.2023,780.0,40.0,Berlin  Friedrichshain-Kreuzberg,2023-04-21,2023-05-21,,1.0,19.5
8,,2.0,21.04.2023,550.0,53.0,Berlin  Friedrichsfelde,2023-05-09,2023-05-20,,0.0,10.377358490566039
9,,3.0,21.04.2023,1900.0,93.0,Berlin,2023-06-01,2023-07-15,,1.0,20.43010752688172
10,,,21.04.2023,920.0,38.0,Berlin  Prenzlauer Berg,2023-05-01,2023-10-08,,5.0,24.210526315789473
11,,,21.04.2023,1350.0,38.0,Berlin  Friedrichshain,2023-05-01,2023-05-31,,0.0,35.526315789473685
12,,2.0,21.04.2023,1000.0,70.0,Berlin  Neukölln,2023-07-01,2023-08-31,,1.0,14.285714285714286
13,,1.0,21.04.2023,1350.0,37.0,Berlin  Friedrichshain,2023-05-01,2023-05-31,,0.0,36.486486486486484
14,,2.0,21.04.2023,1800.0,72.0,Berlin  Wedding,2023-05-01,2024-05-01,,12.0,25.0
15,,2.0,21.04.2023,1200.0,40.0,Berlin  Spandau,2023-05-01,2023-10-01,,5.0,30.0
16,,2.0,21.04.2023,100.0,40.0,Berlin  Berlin - Kreuzberg,2023-04-21,2023-04-23,,0.0,2.5
17,,,21.04.2023,100.0,40.0,Berlin  Kreuzberg - Berlin,2023-04-21,2023-04-23,,0.0,2.5
18,,,21.04.2023,950.0,40.0,Berlin  Mitte,2023-05-01,2024-04-30,,11.0,23.75
19,,,21.04.2023,1850.0,35.0,Berlin  Prenzlauer Berg,2023-04-21,,,,52.857142857142854
20,,,21.04.2023,1550.0,20.0,Berlin  Prenzlauer Berg,2023-04-21,,,,77.5
21,,,21.04.2023,950.0,42.0,Berlin  Weißensee,2023-05-07,2023-06-07,,1.0,22.61904761904762
22,,,,,,,,,,,
0,,,22.04.2023,700.0,35.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,20.0
1,,,22.04.2023,660.0,45.0,Wohnungen von Spotahome*,2023-04-23,,,,14.666666666666666
2,,,21.04.2023,1000.0,43.0,Berlin  Neukölln,2023-05-15,2023-06-15,,1.0,23.25581395348837
3,,2.0,21.04.2023,590.0,75.0,Berlin  Mitte,2023-05-22,2023-06-07,,1.0,7.866666666666666
4,,,21.04.2023,1200.0,35.0,Berlin  Prenzlauer Berg,2023-06-15,2023-08-31,,2.0,34.285714285714285
5,,,21.04.2023,350.0,40.0,Berlin,2023-04-26,2023-05-08,,1.0,8.75
6,,2.0,21.04.2023,290.0,50.0,Berlin  Neukölln,2023-05-15,2023-05-21,,0.0,5.8
7,,,21.04.2023,50.0,34.0,Berlin,2023-05-01,2024-05-01,,12.0,1.4705882352941178
8,,25.0,21.04.2023,1980.0,85.0,Berlin  Neukölln,2023-04-21,2023-07-31,,3.0,23.294117647058822
9,,2.0,21.04.2023,579.0,57.0,Berlin  Wilmersdorf,2023-04-21,2023-05-07,,1.0,10.157894736842104
10,,2.0,21.04.2023,995.0,41.0,Berlin,2023-05-01,2023-10-31,,5.0,24.26829268292683
11,,,21.04.2023,820.0,40.0,Berlin  Tempelhof,2023-05-01,2023-06-15,,1.0,20.5
12,,2.0,21.04.2023,1100.0,58.0,Berlin  Friedrichshain,2023-05-01,2023-05-31,,0.0,18.96551724137931
13,,2.0,21.04.2023,820.0,70.0,Berlin  Wedding,2023-05-28,2023-08-31,,3.0,11.714285714285714
14,,5.0,21.04.2023,1800.0,144.0,Berlin  Schulzendorf Randberlin,2023-04-21,,,,12.5
15,,,21.04.2023,300.0,30.0,Berlin  Lichtenberg,2023-04-29,2023-05-14,,1.0,10.0
16,,,21.04.2023,580.0,35.0,Berlin  Pankow,2023-04-21,,,,16.571428571428573
17,,,21.04.2023,1200.0,40.0,Berlin  Charlottenburg-Wilmersdorf,2023-08-28,2023-10-15,,2.0,30.0
18,,2.0,21.04.2023,1500.0,63.0,Berlin  Wedding,2023-05-01,2023-07-27,,2.0,23.80952380952381
19,,2.0,20.04.2023,550.0,65.0,Berlin  Kreuzberg,2023-05-08,2023-05-23,,0.0,8.461538461538462
20,,,20.04.2023,850.0,50.0,Berlin  Prenzlauer Berg,2023-06-24,2023-08-31,,2.0,17.0
21,,,20.04.2023,476.0,35.0,Berlin  Friedrichshain,2023-04-20,,,,13.6
22,,,,,,,,,,,
0,,,22.04.2023,780.0,45.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,17.333333333333332
