Data ID,Link,Posting Date,City,Address,Pure Rent,Service Charge,Other Charge,Total cost,Size,Date From,Date To,DataFrame,Deposit,Lease term,EUR / SQM,Name,Neighbourhood,Date To (Year - Month),Latitude,Longitude
9326433,www.wg-gesucht.de/wg-zimmer-in-Berlin-Rummelsburg.9326433.html,11.08.2022,Berlin,Muster Str. 1,35,,,,27,2022-08-12,2022-08-14,20230424,,0,1.296296296,11.08.2022-35.0-1.2962962962962963 Berlin,Neukölln,2022-08,52.4811497,13.4353501
9515212,www.wg-gesucht.de/wg-zimmer-in-Berlin-Moabit.9515212.html,08.08.2022,Berlin,Muster Str. 1,20,,,,15,2022-08-08,2022-08-31,20230424,,0,1.333333333,08.08.2022-20.0-1.3333333333333333 Berlin,Lichtenberg,2022-08,48.9212959,7.4812268
9500298,www.wg-gesucht.de/wg-zimmer-in-Berlin-Prenzlauer-Berg.9500298.html,06.08.2022,Berlin,Muster Str. 1,40,,,,17,2022-08-21,2022-08-31,20230424,,0,2.352941176,06.08.2022-40.0-2.3529411764705883 Berlin,Rummelsburg,2022-08,52.5013696,13.4835143
9478584,www.wg-gesucht.de/wg-zimmer-in-Berlin-Prenzlauer-Berg.9478584.html,05.08.2022,Berlin,Muster Str. 1,40,,,,20,2022-08-05,2022-11-01,20230424,,3,2,05.08.2022-40.0-2.0 Berlin,Moabit,2022-11,52.5301017,13.3425422
8627849,www.wg-gesucht.de/wg-zimmer-in-Berlin-Marienfelde.8627849.html,29.07.2022,Berlin,Muster Str. 1,45,,,,20,2022-08-08,2022-08-16,20230424,,0,2.25,29.07.2022-45.0-2.25 Berlin,Prenzlauer Berg,2022-08,52.5398466,13.4285652
7867463,www.wg-gesucht.de/wg-zimmer-in-Berlin-Lankwitz.7867463.html,21.07.2022,Berlin,Muster Str. 1,40,,,,20,2022-07-21,2022-07-28,20230424,,0,2,21.07.2022-40.0-2.0 Berlin,Prenzlauer Berg,2022-07,52.5398466,13.4285652
9458591,www.wg-gesucht.de/wg-zimmer-in-Berlin-Wedding.9458591.html,19.07.2022,Berlin,Muster Str. 1,500,,,,20,2021-05-18,2025-04-18,20230424,,47,25,19.07.2022-500.0-25.0 Berlin,Marienfelde,2025-04,52.4125766,13.3665916
9459008,www.wg-gesucht.de/wg-zimmer-in-Berlin-Pankow.9459008.html,17.07.2022,Berlin,Muster Str. 1,570,,,,22,2020-03-01,,20230424,,,25.90909091,17.07.2022-570.0-25.90909090909091 Berlin,Lankwitz,,52.4336977,13.3454858
9369379,www.wg-gesucht.de/wg-zimmer-in-Berlin-Berlin.9369379.html,13.07.2022,Berlin,Muster Str. 1,40,,,,18,2022-08-01,2022-08-15,20230424,,0,2.222222222,13.07.2022-40.0-2.2222222222222223 Berlin,Wedding,2022-08,52.550123,13.34197
9244319,www.wg-gesucht.de/wg-zimmer-in-Berlin-Wedding.9244319.html,12.07.2022,Berlin,Muster Str. 1,500,,,,25,2022-07-12,2022-10-01,20230424,,3,20,12.07.2022-500.0-20.0 Berlin,Pankow,2022-10,52.5979174,13.435316
